device_id,location,volume_l,sensor_id,heater_profile,measurement_step,temp_c,humidity_pct,pressure_hpa,gas_resistance_ohm,gas_valid,heat_stable,timestamp
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,10,31.97,17.20,93981.70,86868,1,1,4485260
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,10,32.62,16.20,93989.36,90459,1,1,4485281
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,10,32.48,16.21,93975.48,74831,1,1,4485303
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,1,30.32,17.93,93940.95,4482626,1,1,4492664
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,1,30.89,17.61,93966.55,3408362,1,1,4492666
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,1,31.59,16.45,93961.44,8216650,1,1,4492678
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,1,31.74,16.30,93991.90,11074011,1,1,4492689
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,1,32.72,15.98,93962.12,25019,1,1,4492701
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,1,32.06,17.07,93980.94,29398,1,1,4492722
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,1,32.68,16.07,93988.93,30146,1,1,4492743
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,1,32.53,16.08,93973.05,30425,1,1,4492765
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,2,30.18,18.35,93944.30,190866,1,1,4500126
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,2,30.71,18.04,93967.24,112478,1,1,4500128
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,2,31.31,17.09,93964.69,109589,1,1,4500140
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,2,31.40,16.93,93988.38,104617,1,1,4500151
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,2,32.74,16.06,93962.84,34905,1,1,4500163
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,2,32.18,16.85,93980.95,39900,1,1,4500184
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,2,32.67,16.07,93989.38,43039,1,1,4500206
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,2,32.61,15.89,93972.97,48311,1,1,4500217
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,3,30.31,18.06,93941.84,315368,1,1,4507588
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,3,30.89,17.77,93965.46,315951,1,1,4507590
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,3,31.57,16.67,93963.52,138490,1,1,4507611
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,3,31.71,16.55,93989.63,241851,1,1,4507632
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,3,32.85,15.89,93965.87,44382,1,1,4507653
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,3,32.29,16.67,93982.98,48066,1,1,4507674
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,3,32.80,15.90,93988.73,57028,1,1,4507695
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,3,32.73,15.69,93973.80,58918,1,1,4507716
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,4,30.18,18.19,93940.69,190973,1,1,4515077
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,4,30.71,17.88,93963.50,111888,1,1,4515079
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,4,31.45,16.81,93963.34,109800,1,1,4515101
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,4,31.56,16.67,93985.62,104489,1,1,4515123
